match_number,red_agent,blue_agent,elo_red_after,elo_blue_after
50,priya_heu.py,joAgent2.py,1497.09,1670.51
51,baselineTeam.py,HeuristicTeam.py,1244.22,1534.01
52,HeuristicTeam.py,baselineTeam.py,1539.09,1239.14
53,joAgent.py,joAgent2.py,1575.92,1682.79
54,joAgent2.py,joAgent.py,1694.02,1564.69
55,joAgent.py,joMcts.py,1548.37,1573.99
56,joMcts.py,joAgent.py,1588.82,1533.55
1,joAgent2.py,HeuristicTeam.py,1671.32,1561.78
2,HeuristicTeam.py,joAgent2.py,1550.67,1682.44
3,priya_heu_2.py,joAgent.py,1387.66,1543.59
4,joAgent.py,priya_heu_2.py,1552.86,1378.4
5,joMcts.py,priya_heu.py,1600.69,1485.22
6,priya_heu.py,joMcts.py,1474.35,1611.56
7,priya_heu_2.py,HeuristicTeam.py,1369.74,1559.32
8,HeuristicTeam.py,priya_heu_2.py,1551.37,1377.7
9,baselineTeam.py,HeuristicTeam.py,1234.59,1555.92
10,HeuristicTeam.py,baselineTeam.py,1560.27,1230.24
11,priya_heu.py,HeuristicTeam.py,1494.23,1540.39
12,HeuristicTeam.py,priya_heu.py,1522.28,1512.34
13,joAgent.py,HeuristicTeam.py,1551.45,1523.68
14,HeuristicTeam.py,joAgent.py,1540.96,1534.18
15,joAgent2.py,priya_heu.py,1691.18,1503.6
16,priya_heu.py,joAgent2.py,1511.49,1683.29
17,priya_heu_2.py,_joMcts_jia_.py,1367.53,1520.76
18,_joMcts_jia_.py,priya_heu_2.py,1514.12,1374.17
19,priya_heu_2.py,priya_heu.py,1364.18,1521.48
20,priya_heu.py,priya_heu_2.py,1498.69,1386.97
21,priya_heu_2.py,joAgent2.py,1382.05,1688.21
22,joAgent2.py,priya_heu_2.py,1692.9,1377.36
23,joMcts.py,_joMcts_jia_.py,1607.18,1518.5
24,_joMcts_jia_.py,joMcts.py,1538.49,1587.19
25,HeuristicTeam.py,_joMcts_jia_.py,1556.84,1522.61
26,_joMcts_jia_.py,HeuristicTeam.py,1540.18,1539.27
